FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
21183,0.6,4.1,19.7,93.1,53.3,38924,530,23842
21185,0.6,2.6,21.9,87.7,64.4,77659,841,60316
21193,0.9,6.6,15.7,86.2,49.9,31250,521,28712
21203,0.7,,,,,,,17056
21207,0.7,,,,,,,17565
21209,0.7,4.9,22.1,82.5,70.5,60161,706,47173
21211,0.7,4,23,86.6,64.8,54016,763,42074
21217,0.5,4.7,17.8,86.8,58.5,35471,550,24512
21227,0.6,7.5,20.9,76.9,66.2,41184,650,113792
21231,0.6,3.5,18.1,88.3,49.3,27165,465,20813
21235,0.8,5.1,18.6,80.7,50.4,30568,556,35637
21239,0.7,5.5,19.2,90.6,66.9,56407,719,24939
22005,0.7,4.7,22.3,86.7,68.6,66575,821,107215
22015,0.7,4,24.2,83.3,68.6,53096,815,116979
22019,0.7,4.4,21.1,83.2,61.4,42059,724,192768
22023,0.7,,,,,,,6839
22039,0.5,2.6,14.3,90.2,47.5,30925,526,33984
22053,0.6,3.3,20.2,86.7,54.9,39790,565,31594
22059,0.6,,,,,,,14890
22065,0.5,,,,,,,12093
22093,0.8,1.7,18.5,95,60.9,50518,723,22102
23001,0.8,7.1,20.9,84.6,66.2,44518,692,107702
23005,0.7,7.2,18.8,83.5,69.4,58065,927,281674
25001,1,5.6,20.7,90.4,59.2,58751,1124,215888
25003,0.7,5.5,18.8,87.8,62.4,46206,738,131219
25005,1.2,5.6,17.8,89.1,66.4,54221,795,548285
25009,1.2,5.1,17.7,87.7,67.9,66089,1018,743159
25011,0.7,8.6,21,86.6,68.4,52308,824,71372
25013,1,5.9,19,87.3,62.7,49080,777,463490
25015,0.7,9.6,17.3,83.5,65.5,59679,896,158080
25017,1.1,6.4,13.6,86.2,70.1,80150,1260,1503085
25021,1.2,4.6,15,89.1,69.1,82468,1237,670850
25023,1.2,4.5,19,89.8,68.4,72633,1105,494919
25025,1,12.7,14.5,78.7,68,51153,1240,722023
25027,1,5.6,18,88,67.6,63687,895,798552
26001,0.9,,,,,,,10942
26003,0.5,,,,,,,9601
26005,0.5,4.7,22.8,86.4,62.4,49394,725,111408
26007,0.4,4.4,26.6,85.9,57.6,37895,529,29598
26009,0.6,4.4,24.2,92.1,56,43934,701,23580
26011,0.6,,,,,,,15899
26013,0.5,,,,,,,8860
26015,0.6,4.1,25.1,90.5,62,52211,700,59173
26017,0.4,5.1,24,88.5,60.1,45064,633,107771
26019,0.7,,,,,,,17525
26021,0.7,4.3,22.8,87.3,61.1,43303,638,156813
26023,0.6,5,24.4,90.2,54.9,40438,676,45248
26025,0.6,5.3,25.4,85.1,60.5,40771,648,136146
26027,0.7,4,24.3,92.9,59.7,43921,718,52293
26029,0.5,4.4,24.7,89.6,61.1,44756,614,25949
26031,0.7,5.8,22.2,86.6,53.5,37573,566,26152
26033,0.4,6,25.9,82.5,53.3,38996,594,38520
26035,0.6,5.8,25.9,85.9,47.2,31539,572,30926
26037,0.4,7.2,27.5,86.4,64.6,58251,760,75382
26039,0.5,,,,,,,14074
26041,0.4,5.6,23.8,88,58.7,39904,538,37069
26043,0.4,3.2,22.4,88.7,58.4,42468,589,26168
26045,0.5,4.2,27.8,86.2,64.4,53878,746,107759
26047,0.6,4.8,23.4,87,64.3,50000,725,32694
26049,0.6,5,26.9,84.8,57.3,40860,695,425790
26055,0.5,6.3,25.1,86,65.2,50275,821,86986
26057,0.4,5.3,25.3,82.7,53.2,40486,590,42476
26059,0.6,4.8,23.2,87.8,57.5,41260,611,46688
26061,0.3,9.8,19.3,83.9,55.8,35323,595,36628
26063,0.5,4.1,19,90.9,56.8,39925,586,33118
26065,0.5,10.3,24.4,75.6,63.2,43971,755,280895
26067,0.4,4,26.2,85.3,60.1,47392,682,63905
26069,0.6,5.3,26.8,87.3,47.1,34989,579,25887
26071,0.6,,,,,,,11817
26073,0.3,18.1,23.3,66.4,61.5,35536,666,70311
26075,0.6,5.4,28,82.5,58.2,44071,723,160248
26077,0.4,9.3,25.1,78.8,65.5,45453,706,250331
26079,0.6,,,,,,,17153
26081,0.5,6.1,22.5,84,68.9,50940,737,602622
26085,0.8,,,,,,,11539
26087,0.7,3.6,26.1,88.8,60.2,51435,775,88319
26089,0.6,3.5,23.4,91,56.6,53512,788,21708
26091,0.5,4.9,24.8,85,60.1,46608,693,99892
26093,0.7,3.4,26.1,90.3,67.6,71039,899,180967
26097,0.6,,,,,,,11113
26099,0.9,3.6,24.5,88.5,64.5,51971,811,840978
26101,0.6,5.9,24.2,85.2,51.1,39485,649,24733
26103,0.4,7.7,23.1,83,58.2,44528,599,67077
26105,0.5,4.5,26.2,86.2,60.7,41174,652,28705
26107,0.5,9.7,24.6,81.5,56.6,38597,639,42798
26109,0.5,3.6,22.5,89.9,59,40047,521,24029
26111,0.5,4.4,22.3,84.8,60.4,52352,720,83629
26115,0.6,3.8,25.7,88.4,62.8,52227,797,152021
26117,0.5,5.5,24.9,88.7,55.1,39926,670,63342
26119,0.7,,,,,,,9765
26121,0.5,5.3,25.4,83.9,59.5,40158,649,172188
26123,0.6,5.6,23.8,89.9,55.9,42084,672,48460
26125,0.8,4.1,21.5,85.5,66.9,63205,904,1202362
26127,0.6,4.5,22.2,89,55,38289,667,26570
26129,0.5,5.7,23.3,85.5,48,35379,624,21699
26133,0.6,6.4,21.4,86.8,53.8,36879,565,23528
26137,0.6,6.5,25.1,82.6,59.8,47821,662,24164
26139,0.4,5.3,22.2,84.9,68.1,55568,743,263801
26141,0.6,,,,,,,13376
26143,0.7,6.4,25,86.4,41.4,33743,657,24449
26145,0.5,5.1,23.9,86.6,58.3,41793,703,200169
26147,0.7,5,26.6,85.4,60.9,46055,709,163040
26149,0.6,4.6,23.2,91.4,59.9,42677,629,61295
26151,0.6,4.8,21.1,92,56.7,40034,611,43114
26153,0.4,,,,,,,8485
26155,0.6,4.9,27,86.5,60.3,46717,653,70648
26157,0.5,4.3,23.4,86.9,57.8,43247,643,55729
